trip_id,distance_km,road_type,elevation_gain_m,elevation_loss_m,avg_speed_kmh,traffic_congestion_level,ambient_temperature_c,weather_condition,vehicle_profile,vehicle_battery_capacity_kwh,vehicle_efficiency_baseline_wh_per_km,vehicle_curb_weight_kg,load_state,payload_kg,total_mass_kg,energy_consumed_kwh,wh_per_km
95,17.18,arterial,0.1,19.9,34.9,0.025,33.8,clear,small_ev,24,140,1400,full_load,289.7,1689.7,2.284,133.0
97,2.53,city,11.7,2.6,28.8,0.419,29.9,rain,mid_ev,40,160,1900,half_load,202.1,2102.1,1.171,462.1
98,6.45,city,1.8,2.3,17.9,0.348,31.2,rain,mid_ev,40,160,1900,unladen,12.3,1912.3,2.148,333.1
99,14.39,city,1.1,19.9,31.5,0.306,32.4,heavy_rain,large_ev,75,190,2400,unladen,55.0,2455.0,6.175,429.2
100,67.01,highway,5.4,68.3,70.3,0.192,30.4,clear,large_ev,75,190,2400,half_load,292.9,2692.9,34.217,510.7
101,4.38,city,11.9,3.0,25.2,0.682,31.6,heavy_rain,small_ev,24,140,1400,half_load,167.2,1567.2,2.136,488.0
102,10.36,arterial,10.0,83.4,45.0,0.349,29.9,clear,large_ev,75,190,2400,half_load,316.6,2716.6,4.412,425.9
103,10.11,arterial,33.3,6.9,33.0,0.497,32.2,clear,large_ev,75,190,2400,unladen,39.5,2439.5,4.257,421.0
104,1.4,city,4.2,1.7,18.8,0.847,25.4,clear,small_ev,24,140,1400,half_load,123.1,1523.1,0.697,498.9
105,76.81,highway,51.4,2.9,80.5,0.362,30.4,heavy_rain,large_ev,75,190,2400,half_load,329.3,2729.3,57.131,743.8
106,4.29,city,1.3,2.2,14.0,0.271,26.3,clear,small_ev,24,140,1400,full_load,296.5,1696.5,0.903,210.4
107,16.29,arterial,75.9,30.4,43.3,0.571,31.6,clear,large_ev,75,190,2400,half_load,315.7,2715.7,9.337,573.3
109,163.68,highway,15.0,21.2,74.7,0.106,30.3,clear,large_ev,75,190,2400,unladen,33.3,2433.3,89.981,549.7
110,75.93,arterial,44.6,13.6,42.5,0.09,24.3,clear,small_ev,24,140,1400,full_load,274.8,1674.8,12.951,170.6
111,105.46,highway,238.8,29.3,60.6,0.561,36.1,clear,large_ev,75,190,2400,unladen,44.3,2444.3,55.451,525.8
112,14.03,arterial,6.9,3.7,42.4,0.286,29.5,clear,mid_ev,40,160,1900,full_load,411.7,2311.7,4.339,309.3
116,2.4,city,3.4,5.3,26.0,0.427,30.2,rain,small_ev,24,140,1400,half_load,165.6,1565.6,0.794,330.9
118,6.73,arterial,11.6,17.4,30.4,0.514,28.7,clear,small_ev,24,140,1400,half_load,163.5,1563.5,1.523,226.4
119,2.54,city,15.7,2.4,12.6,0.893,28.1,clear,large_ev,75,190,2400,unladen,38.6,2438.6,2.192,861.4
120,2.51,city,2.5,0.1,28.4,0.653,28.7,rain,mid_ev,40,160,1900,full_load,394.4,2294.4,1.595,635.1
121,24.68,arterial,94.6,11.5,54.5,0.786,36.1,rain,mid_ev,40,160,1900,unladen,24.8,1924.8,15.89,643.9
122,28.87,highway,2.8,11.9,74.8,0.016,24.2,rain,small_ev,24,140,1400,half_load,150.6,1550.6,10.797,373.9
123,42.66,highway,3.8,38.7,72.3,0.005,26.5,clear,mid_ev,40,160,1900,unladen,38.3,1938.3,17.866,418.8
124,8.02,city,4.5,15.7,18.1,0.742,31.8,clear,mid_ev,40,160,1900,unladen,33.9,1933.9,4.589,572.6
125,10.04,arterial,10.4,10.6,46.9,0.571,39.5,clear,mid_ev,40,160,1900,full_load,392.8,2292.8,5.392,536.8
127,83.92,highway,69.7,45.7,87.3,0.223,42.0,clear,small_ev,24,140,1400,half_load,126.0,1526.0,51.602,614.9
128,20.47,arterial,0.7,39.4,54.0,0.774,34.3,clear,mid_ev,40,160,1900,half_load,229.2,2129.2,12.122,592.2
129,43.18,highway,34.3,46.3,89.8,0.298,33.8,rain,small_ev,24,140,1400,unladen,15.1,1415.1,25.918,600.2
130,37.75,arterial,2.8,12.1,50.3,0.377,32.5,clear,mid_ev,40,160,1900,half_load,227.8,2127.8,14.965,396.4
132,12.15,arterial,33.9,42.5,40.2,0.482,35.8,clear,large_ev,75,190,2400,unladen,48.4,2448.4,5.605,461.2
133,5.05,city,3.1,0.2,10.1,0.468,20.2,clear,large_ev,75,190,2400,unladen,15.9,2415.9,2.28,451.4
134,2.31,city,8.6,28.0,28.1,0.398,34.1,rain,large_ev,75,190,2400,half_load,243.0,2643.0,1.294,560.6
135,104.11,highway,9.8,5.3,77.0,0.08,38.0,rain,small_ev,24,140,1400,full_load,289.5,1689.5,48.128,462.3
136,22.35,arterial,2.1,14.8,52.3,0.322,34.9,clear,large_ev,75,190,2400,unladen,16.6,2416.6,10.233,457.9
137,18.14,arterial,24.8,22.5,46.5,0.445,29.1,heavy_rain,large_ev,75,190,2400,unladen,25.1,2425.1,8.497,468.3
139,72.0,highway,17.9,179.8,92.3,0.168,34.4,clear,mid_ev,40,160,1900,half_load,186.1,2086.1,49.33,685.1
140,37.61,arterial,5.6,4.3,49.8,0.439,24.9,rain,mid_ev,40,160,1900,full_load,389.5,2289.5,15.73,418.2
141,89.62,highway,17.4,39.8,81.3,0.067,34.6,clear,small_ev,24,140,1400,full_load,286.7,1686.7,40.988,457.4
142,7.6,city,5.0,16.5,20.9,0.448,34.0,heavy_rain,large_ev,75,190,2400,half_load,270.5,2670.5,4.475,588.8
143,9.19,city,6.0,14.0,19.4,0.857,31.1,clear,large_ev,75,190,2400,unladen,54.6,2454.6,7.443,809.7
144,70.52,highway,74.9,122.5,85.9,0.155,32.4,clear,mid_ev,40,160,1900,unladen,39.1,1939.1,40.239,570.6
145,18.64,city,25.6,13.2,15.7,0.223,24.0,clear,mid_ev,40,160,1900,half_load,210.5,2110.5,4.407,236.5
147,9.94,city,9.8,5.2,17.3,0.533,21.8,rain,small_ev,24,140,1400,full_load,281.9,1681.9,3.741,376.6
148,25.88,arterial,5.1,6.8,46.0,0.067,32.4,clear,mid_ev,40,160,1900,half_load,186.0,2086.0,6.124,236.6
149,26.7,city,1.4,0.3,12.5,0.549,42.0,rain,large_ev,75,190,2400,full_load,588.1,2988.1,21.667,811.5
150,48.59,highway,49.1,2.8,57.4,0.093,32.3,rain,large_ev,75,190,2400,half_load,242.9,2642.9,19.081,392.7
151,68.98,highway,27.9,42.4,88.7,0.473,36.7,clear,large_ev,75,190,2400,full_load,553.0,2953.0,57.537,834.2
152,1.0,city,17.7,27.3,23.0,0.267,31.4,heavy_rain,mid_ev,40,160,1900,half_load,193.5,2093.5,0.342,341.6
153,107.4,highway,37.1,0.3,83.1,0.303,38.5,clear,large_ev,75,190,2400,unladen,44.9,2444.9,84.168,783.7
154,16.9,arterial,12.7,87.0,35.5,0.257,26.0,clear,small_ev,24,140,1400,full_load,290.7,1690.7,3.357,198.6
155,17.6,city,0.4,8.6,19.7,0.376,29.2,clear,small_ev,24,140,1400,unladen,14.6,1414.6,4.338,246.4
156,6.89,city,10.1,26.6,20.4,0.6,34.3,clear,mid_ev,40,160,1900,full_load,429.2,2329.2,4.145,601.7
157,11.02,city,15.1,4.0,23.9,0.621,28.8,clear,small_ev,24,140,1400,half_load,179.9,1579.9,4.59,416.7
158,9.01,arterial,8.3,40.9,47.3,0.148,23.8,rain,mid_ev,40,160,1900,unladen,35.6,1935.6,2.423,269.1
159,3.91,city,15.0,3.4,8.0,0.748,41.5,heavy_rain,small_ev,24,140,1400,half_load,155.5,1555.5,2.336,598.1
160,4.88,arterial,8.6,19.9,36.9,0.483,32.4,clear,small_ev,24,140,1400,unladen,7.0,1407.0,1.221,250.3
161,10.07,city,12.1,13.9,26.4,0.366,28.3,clear,mid_ev,40,160,1900,half_load,259.5,2159.5,3.839,381.2
163,136.54,highway,163.5,4.6,85.2,0.289,20.8,clear,large_ev,75,190,2400,half_load,259.6,2659.6,96.369,705.8
165,40.15,highway,34.2,31.2,107.1,0.07,36.0,clear,mid_ev,40,160,1900,unladen,14.4,1914.4,37.749,940.3
166,150.08,highway,13.2,2.2,94.1,0.353,28.1,rain,mid_ev,40,160,1900,full_load,428.3,2328.3,116.024,773.1
168,34.68,arterial,50.4,25.4,47.0,0.81,34.2,heavy_rain,large_ev,75,190,2400,half_load,259.9,2659.9,26.386,760.9
169,104.26,highway,30.7,72.8,80.1,0.024,28.8,clear,small_ev,24,140,1400,unladen,20.0,1420.0,43.838,420.5
171,87.72,highway,22.1,60.1,91.4,0.204,37.3,rain,small_ev,24,140,1400,unladen,10.3,1410.3,54.193,617.8
173,38.4,highway,37.5,6.7,87.9,0.092,36.9,clear,small_ev,24,140,1400,full_load,288.5,1688.5,21.188,551.7
174,29.01,arterial,2.3,11.1,31.7,0.415,35.7,rain,large_ev,75,190,2400,half_load,347.4,2747.4,12.552,432.7
175,3.72,city,3.0,1.4,23.3,0.855,31.5,heavy_rain,large_ev,75,190,2400,half_load,281.0,2681.0,3.729,1001.0
176,34.53,arterial,20.0,0.8,50.5,0.436,30.6,rain,mid_ev,40,160,1900,full_load,441.6,2341.6,15.043,435.7
177,15.56,arterial,15.5,10.2,40.9,0.179,26.9,clear,mid_ev,40,160,1900,unladen,21.1,1921.1,3.467,222.9
178,8.38,arterial,5.0,12.0,48.6,0.382,29.0,rain,small_ev,24,140,1400,half_load,120.7,1520.7,2.489,297.2
179,26.81,arterial,25.1,11.9,41.3,0.379,33.3,clear,small_ev,24,140,1400,half_load,137.9,1537.9,7.026,262.1
180,10.41,arterial,8.2,2.3,46.1,0.786,30.7,rain,large_ev,75,190,2400,full_load,542.5,2942.5,7.78,747.3
181,89.0,highway,33.3,6.2,88.9,0.024,30.1,rain,large_ev,75,190,2400,full_load,572.9,2972.9,61.277,688.5
182,16.03,arterial,13.5,26.8,50.7,0.343,36.2,clear,large_ev,75,190,2400,half_load,259.4,2659.4,7.837,488.8
184,13.01,arterial,3.0,18.5,43.1,0.147,36.2,clear,large_ev,75,190,2400,unladen,37.6,2437.6,3.983,306.2
185,7.66,arterial,29.8,8.5,41.9,0.475,34.8,clear,large_ev,75,190,2400,full_load,588.6,2988.6,4.08,532.4
186,11.78,arterial,23.4,33.5,40.7,0.553,33.9,clear,small_ev,24,140,1400,full_load,299.1,1699.1,3.924,333.1
187,242.45,highway,48.9,79.5,80.4,0.351,32.9,rain,large_ev,75,190,2400,full_load,534.3,2934.3,177.41,731.7
188,4.11,city,28.2,17.7,30.9,0.356,29.7,clear,small_ev,24,140,1400,full_load,272.1,1672.1,1.308,318.2
189,114.61,highway,188.2,1.2,75.2,0.41,28.2,clear,large_ev,75,190,2400,full_load,547.3,2947.3,71.681,625.4
190,47.16,highway,3.2,23.0,79.6,0.462,34.4,clear,mid_ev,40,160,1900,full_load,409.6,2309.6,28.678,608.1
191,173.7,highway,82.1,7.1,68.4,0.43,30.5,heavy_rain,large_ev,75,190,2400,unladen,8.8,2408.8,100.734,579.9
192,7.06,city,0.1,24.0,28.6,0.562,34.9,clear,large_ev,75,190,2400,half_load,359.6,2759.6,5.031,712.3
194,24.06,arterial,5.7,7.6,45.5,0.604,20.0,clear,large_ev,75,190,2400,half_load,311.3,2711.3,12.267,509.8
195,8.93,city,7.6,24.2,27.4,0.472,29.0,clear,mid_ev,40,160,1900,full_load,393.9,2293.9,4.176,467.6
196,16.25,arterial,12.9,23.4,39.9,0.162,35.0,clear,mid_ev,40,160,1900,unladen,7.1,1907.1,3.606,221.9
198,18.57,city,0.9,6.7,15.9,0.723,35.5,clear,large_ev,75,190,2400,half_load,251.9,2651.9,15.056,811.0
200,17.62,arterial,8.1,7.2,43.9,0.31,34.8,clear,mid_ev,40,160,1900,full_load,387.9,2287.9,6.046,343.1
201,2.41,arterial,4.9,14.3,49.2,0.684,27.3,clear,large_ev,75,190,2400,half_load,329.1,2729.1,1.359,563.8
203,6.21,city,10.9,7.1,20.8,0.252,37.9,clear,mid_ev,40,160,1900,unladen,11.2,1911.2,1.864,300.0
204,219.6,highway,19.1,90.4,77.3,0.191,40.8,rain,large_ev,75,190,2400,unladen,53.0,2453.0,155.861,709.8
205,14.19,highway,8.9,8.2,82.3,0.105,28.2,clear,large_ev,75,190,2400,full_load,540.4,2940.4,9.373,660.4
206,41.7,arterial,18.1,12.5,38.9,0.512,32.4,clear,small_ev,24,140,1400,unladen,27.6,1427.6,11.552,277.0
208,9.5,city,1.9,5.0,27.3,0.403,25.3,clear,mid_ev,40,160,1900,half_load,204.6,2104.6,3.603,379.3
209,13.87,arterial,60.2,1.0,46.6,0.298,41.4,clear,small_ev,24,140,1400,unladen,2.9,1402.9,4.443,320.2
211,101.63,highway,10.1,45.7,75.9,0.271,40.1,clear,mid_ev,40,160,1900,full_load,444.3,2344.3,61.976,609.8
212,33.2,highway,15.1,0.4,92.8,0.155,26.9,clear,mid_ev,40,160,1900,half_load,240.5,2140.5,22.396,674.7
213,103.82,highway,10.9,2.0,92.5,0.053,34.4,clear,small_ev,24,140,1400,half_load,163.6,1563.6,61.232,589.8
214,6.45,city,10.2,8.3,17.6,0.573,25.4,clear,small_ev,24,140,1400,full_load,296.9,1696.9,2.593,402.1
215,52.47,arterial,0.4,8.9,69.3,0.22,39.9,clear,large_ev,75,190,2400,full_load,581.2,2981.2,35.987,685.8
216,22.74,arterial,38.7,4.2,40.1,0.445,33.7,clear,mid_ev,40,160,1900,unladen,30.5,1930.5,8.014,352.4
217,21.66,arterial,35.3,4.7,40.0,0.429,34.9,heavy_rain,mid_ev,40,160,1900,unladen,14.5,1914.5,8.284,382.5
218,95.69,highway,3.4,47.6,75.1,0.397,27.4,clear,small_ev,24,140,1400,half_load,136.3,1536.3,37.937,396.5
219,9.35,arterial,1.8,53.2,35.6,0.094,28.1,clear,small_ev,24,140,1400,unladen,6.8,1406.8,1.258,134.7
220,22.89,arterial,2.1,3.1,48.8,0.291,25.9,clear,large_ev,75,190,2400,full_load,539.1,2939.1,9.685,423.1
221,35.81,arterial,9.3,15.6,53.0,0.091,26.4,clear,small_ev,24,140,1400,half_load,163.2,1563.2,8.351,233.2
224,10.77,arterial,8.5,30.3,38.0,0.09,33.0,clear,large_ev,75,190,2400,unladen,1.6,2401.6,2.486,230.8
226,4.18,city,5.2,7.3,17.6,0.863,32.4,clear,large_ev,75,190,2400,full_load,571.0,2971.0,4.311,1030.6
227,10.41,city,13.5,0.2,21.6,0.491,42.0,rain,large_ev,75,190,2400,unladen,2.2,2402.2,6.848,657.8
229,5.18,city,2.2,1.6,26.7,0.77,31.1,clear,mid_ev,40,160,1900,unladen,5.0,1905.0,2.964,572.5
230,18.0,arterial,1.7,17.1,43.0,0.073,34.9,clear,mid_ev,40,160,1900,half_load,239.3,2139.3,4.071,226.1
231,74.18,highway,43.6,56.9,75.8,0.322,27.9,clear,large_ev,75,190,2400,unladen,24.2,2424.2,41.597,560.7
232,6.38,city,1.2,1.0,23.3,0.369,31.6,clear,small_ev,24,140,1400,unladen,9.7,1409.7,1.532,240.0
233,45.56,highway,38.5,81.6,78.9,0.105,27.7,clear,large_ev,75,190,2400,full_load,572.3,2972.3,27.367,600.7
234,4.4,city,6.4,20.0,18.9,0.32,26.5,clear,mid_ev,40,160,1900,half_load,247.6,2147.6,1.27,288.6
235,8.95,city,17.5,36.8,17.7,0.141,30.8,rain,mid_ev,40,160,1900,half_load,261.8,2161.8,1.624,181.5
236,4.98,city,8.7,7.1,22.4,0.586,36.3,clear,small_ev,24,140,1400,unladen,3.9,1403.9,2.107,422.7
237,8.83,city,16.4,19.4,33.3,0.733,33.6,clear,mid_ev,40,160,1900,full_load,437.2,2337.2,6.743,763.4
239,51.71,arterial,16.4,4.9,56.7,0.149,23.9,clear,mid_ev,40,160,1900,half_load,194.8,2094.8,15.865,306.8
240,191.41,highway,38.7,23.8,66.0,0.01,24.5,rain,mid_ev,40,160,1900,half_load,223.2,2123.2,63.652,332.5
243,7.54,city,6.9,2.0,20.9,0.69,36.4,rain,small_ev,24,140,1400,full_load,291.0,1691.0,4.038,535.8
244,13.99,arterial,18.2,11.0,44.5,0.29,26.4,clear,mid_ev,40,160,1900,full_load,446.7,2346.7,4.541,324.6
245,4.79,arterial,50.1,19.7,57.5,0.678,29.3,clear,mid_ev,40,160,1900,full_load,404.6,2304.6,2.901,606.1
246,82.09,highway,63.4,4.7,89.0,0.093,36.2,clear,small_ev,24,140,1400,half_load,160.1,1560.1,48.081,585.7
247,14.96,arterial,8.8,3.0,49.6,0.431,39.4,clear,large_ev,75,190,2400,half_load,304.1,2704.1,8.116,542.5
248,29.41,arterial,9.4,15.9,51.3,0.724,31.9,clear,small_ev,24,140,1400,unladen,9.3,1409.3,11.006,374.2
249,23.9,city,12.5,5.9,21.6,0.541,30.8,clear,large_ev,75,190,2400,unladen,25.2,2425.2,14.148,592.0
250,52.44,highway,39.6,26.6,80.7,0.254,35.0,clear,small_ev,24,140,1400,half_load,136.7,1536.7,26.828,511.6
253,38.31,arterial,11.8,26.2,34.2,0.409,38.1,clear,large_ev,75,190,2400,half_load,291.8,2691.8,16.664,435.0
254,40.2,arterial,12.0,9.9,51.8,0.231,31.0,rain,mid_ev,40,160,1900,half_load,203.0,2103.0,14.143,351.8
255,8.43,city,10.4,5.5,12.5,0.169,33.8,heavy_rain,large_ev,75,190,2400,unladen,12.0,2412.0,2.077,246.5
256,32.4,highway,56.5,45.1,78.1,0.285,32.3,rain,mid_ev,40,160,1900,unladen,4.0,1904.0,17.945,553.8
257,16.35,city,20.4,0.6,21.5,0.835,25.7,heavy_rain,mid_ev,40,160,1900,unladen,22.1,1922.1,11.003,672.9
258,9.99,arterial,0.7,6.0,49.2,0.534,34.3,clear,mid_ev,40,160,1900,unladen,15.7,1915.7,4.278,428.3
260,8.23,city,2.0,58.5,17.6,0.59,38.7,clear,small_ev,24,140,1400,half_load,145.9,1545.9,3.427,416.3
261,9.86,arterial,7.1,10.4,50.1,0.158,29.6,rain,mid_ev,40,160,1900,full_load,404.6,2304.6,3.056,310.1
